original_index,image_name,image_path,copied_path,human_label,vit_label,human_decoder_pred,vit_decoder_pred,human_logit,vit_logit,human_decoder_correct_under_human_label,vit_decoder_correct_under_human_label,human_decoder_correct_under_vit_label,vit_decoder_correct_under_vit_label
10,scene_010.png,/home/maria/Science/data/images/scene_010.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/vit_correct_human_wrong_consensus/scene_010.png,1,1,0,1,-1.754559453959804,1.777195297446194,0,1,0,1
16,scene_016.png,/home/maria/Science/data/images/scene_016.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/vit_correct_human_wrong_consensus/scene_016.png,1,1,0,1,-0.062385721422080015,2.6438013705852064,0,1,0,1
39,scene_039.png,/home/maria/Science/data/images/scene_039.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/vit_correct_human_wrong_consensus/scene_039.png,1,1,0,1,-0.29058403090171697,1.3319898514542954,0,1,0,1
54,scene_054.png,/home/maria/Science/data/images/scene_054.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/vit_correct_human_wrong_consensus/scene_054.png,1,1,0,1,-0.8143925011727743,1.0353550241272576,0,1,0,1
