unit_id,waveform_PT_ratio,waveform_amplitude,amplitude_cutoff,cumulative_drift,d_prime,waveform_duration,ecephys_channel_id,firing_rate,waveform_halfwidth,isi_violations,isolation_distance,L_ratio,max_drift,nn_hit_rate,nn_miss_rate,presence_ratio,waveform_recovery_slope,waveform_repolarization_slope,silhouette_score,snr,waveform_spread,waveform_velocity_above,waveform_velocity_below,ecephys_probe_id,local_index,probe_horizontal_position,probe_vertical_position,anterior_posterior_ccf_coordinate,dorsal_ventral_ccf_coordinate,left_right_ccf_coordinate,ecephys_structure_id,ecephys_structure_acronym,ecephys_session_id,lfp_sampling_rate,name,phase,sampling_rate,has_lfp_data,date_of_acquisition,published_at,specimen_id,session_type,age_in_days,sex,genotype,channel__ecephys_probe_id,channel__local_index,channel__probe_horizontal_position,channel__probe_vertical_position,channel__anterior_posterior_ccf_coordinate,channel__dorsal_ventral_ccf_coordinate,channel__left_right_ccf_coordinate,channel__ecephys_structure_id,channel__ecephys_structure_acronym,channel__ecephys_session_id,channel__lfp_sampling_rate,channel__phase,channel__sampling_rate,channel__has_lfp_data,channel__unit_count
951098014,0.175429954664445,65.797875,0.0074984579948682,175.89,4.6561297727997,0.439530988274707,849775288,5.59321199275999,0.32964824120603,0.0207094261963555,75.2952227485697,0.0049033598593188,22.16,0.988,0.0017667844522968,0.99,-0.01499506867146,0.13895886126044,0.0730930647859747,0.598391049583892,30.0,,-0.686767169179229,832810578,287,27,2880,9048.0,728.0,8103.0,385.0,VISp,831882777,1250.00006748722,probeC,3a,30000.0016196932,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810578,287,27,2880,9048.0,728.0,8103.0,385.0,VISp,831882777,1250.00006748722,3a,30000.0016196932,True,2
951099158,0.448847134992393,126.88221,0.0629342678094487,172.44,2.19909274411723,0.618090452261307,849773476,7.95606361951052,0.219765494137353,0.102350885178279,34.7324373020945,0.0381464740865766,8.18,0.843333333333333,0.0251619332336821,0.99,-0.0559849012853657,0.365864293041969,0.0465557065564484,1.62282978183943,40.0,0.274706867671692,,832810580,2,59,40,,,,8.0,grey,831882777,1249.99685970866,probeD,3a,29999.9246330078,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810580,2,59,40,,,,8.0,grey,831882777,1249.99685970866,3a,29999.9246330078,True,3
951099184,0.285960719207411,305.32086,0.0062652317906908,180.63,4.75300759120836,0.631825795644891,849773476,0.653379828480915,0.1785594639866,0.0,40.6979061410802,0.000841115124,34.46,0.966666666666667,0.000134544231416,0.99,-0.0804224139040987,1.02944413537919,0.326117918244137,3.16642677872534,50.0,-0.274706867671692,,832810580,2,59,40,,,,8.0,grey,831882777,1249.99685970866,probeD,3a,29999.9246330078,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810580,2,59,40,,,,8.0,grey,831882777,1249.99685970866,3a,29999.9246330078,True,3
951102855,0.425513634651296,155.55033,0.0027338519519525,224.29,5.12604083230249,0.576884422110553,849773476,0.823181308960704,0.260971524288107,0.393682594731955,41.0075096817722,0.0010000138173033,25.62,0.976608187134503,0.000168588576438,0.97,-0.0400982051320778,0.421708648695943,0.11283867631374,1.52580882934226,70.0,0.711294568078488,,832810580,2,59,40,,,,8.0,grey,831882777,1249.99685970866,probeD,3a,29999.9246330078,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810580,2,59,40,,,,8.0,grey,831882777,1249.99685970866,3a,29999.9246330078,True,3
951099211,0.30612430911594,219.77202,0.0002358070724246,160.28,4.72861051818391,0.673031825795645,849773482,9.93267486533514,0.260971524288107,0.0011588520454628,108.254353673132,0.0068278887857355,33.11,0.974666666666667,0.0034938621340887,0.99,-0.0545363431922784,0.694613099973718,0.281781205192365,2.60831486707513,60.0,0.137353433835846,-0.686767169179227,832810580,5,11,60,,,,8.0,grey,831882777,1249.99685970866,probeD,3a,29999.9246330078,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810580,5,11,60,,,,8.0,grey,831882777,1249.99685970866,3a,29999.9246330078,True,2
951099312,0.422303620284821,124.140705,0.0017363612688233,182.3,5.4098346191282,0.604355108877722,849773482,7.18097578376356,0.315912897822446,0.0140418992514863,108.253688347058,0.0001366110602672,43.55,0.996,0.0003280194187495,0.99,-0.0526525946238998,0.308394713031149,0.156488084325309,1.50267436368626,70.0,-0.529791816223977,0.0,832810580,5,11,60,,,,8.0,grey,831882777,1249.99685970866,probeD,3a,29999.9246330078,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810580,5,11,60,,,,8.0,grey,831882777,1249.99685970866,3a,29999.9246330078,True,2
951099250,0.285134186460803,285.112425,0.0031185689264942,91.29,5.21423324013321,0.590619765494137,849773484,2.28896462788085,0.192294807370184,0.0,62.6733775145882,0.0004044037556982,35.0,0.984276729559748,0.0004819940783584,0.99,-0.0699664531042422,0.963099659571802,0.210960948319068,2.67262343116005,50.0,0.68676716917923,0.343383584589614,832810580,6,59,80,,,,8.0,grey,831882777,1249.99685970866,probeD,3a,29999.9246330078,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810580,6,59,80,,,,8.0,grey,831882777,1249.99685970866,3a,29999.9246330078,True,3
951099263,0.312707776740852,366.85701,0.0004042645996659,93.79,3.09558977716352,0.590619765494137,849773484,2.47676303174083,0.192294807370184,0.0248502209155784,63.9254469847926,0.0016237343729965,34.45,0.986531986531986,0.0010306090899721,0.99,-0.126793647284291,1.38068608145364,0.120669129991712,3.69039590116989,60.0,0.824120603015075,-0.343383584589615,832810580,6,59,80,,,,8.0,grey,831882777,1249.99685970866,probeD,3a,29999.9246330078,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810580,6,59,80,,,,8.0,grey,831882777,1249.99685970866,3a,29999.9246330078,True,3
951099296,0.429657249147062,155.904255,0.0424286981607332,275.92,2.62740908499153,0.673031825795645,849773484,4.69923055289487,0.260971524288107,0.32272103743053,34.1268088662686,0.0318827613288078,25.21,0.746666666666667,0.0184174942882454,0.99,-0.021638837617989,0.22101558365526,0.0076516845730524,1.12527164746125,50.0,1.37353433835846,0.343383584589614,832810580,6,59,80,,,,8.0,grey,831882777,1249.99685970866,probeD,3a,29999.9246330078,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810580,6,59,80,,,,8.0,grey,831882777,1249.99685970866,3a,29999.9246330078,True,3
951099325,0.371184818176568,192.12102,0.0013323059700758,149.99,5.02272317727928,0.549413735343384,849773490,1.09110160899917,0.233500837520938,0.0,74.3270360914634,0.0003297744208409,34.09,0.942460317460317,0.0006441551396799,0.99,-0.0959918800778592,0.569172706981007,0.31464033306929,2.26098681665797,70.0,1.44221105527638,-0.961474036850921,832810580,9,11,100,,,,8.0,grey,831882777,1249.99685970866,probeD,3a,29999.9246330078,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810580,9,11,100,,,,8.0,grey,831882777,1249.99685970866,3a,29999.9246330078,True,1
