original_index,image_name,image_path,copied_path,human_label,vit_label,human_decoder_pred,vit_decoder_pred,human_logit,vit_logit,human_decoder_correct_under_human_label,vit_decoder_correct_under_human_label,human_decoder_correct_under_vit_label,vit_decoder_correct_under_vit_label
14,scene_014.png,/home/maria/Science/data/images/scene_014.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/human_correct_vit_wrong_consensus/scene_014.png,1,1,1,0,0.7415142739544351,-0.09804992500567877,1,0,1,0
25,scene_025.png,/home/maria/Science/data/images/scene_025.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/human_correct_vit_wrong_consensus/scene_025.png,1,1,1,0,0.5222285408279939,-4.259654663296841,1,0,1,0
74,scene_074.png,/home/maria/Science/data/images/scene_074.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/human_correct_vit_wrong_consensus/scene_074.png,0,0,0,1,-0.42799825252096946,1.660041863634537,1,0,1,0
83,scene_083.png,/home/maria/Science/data/images/scene_083.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/human_correct_vit_wrong_consensus/scene_083.png,0,0,0,1,-1.450400427480508,1.424642146043186,1,0,1,0
90,scene_090.png,/home/maria/Science/data/images/scene_090.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/human_correct_vit_wrong_consensus/scene_090.png,0,0,0,1,-0.4697664383902519,0.1500029101160336,1,0,1,0
102,scene_102.png,/home/maria/Science/data/images/scene_102.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/human_correct_vit_wrong_consensus/scene_102.png,1,1,1,0,0.3895006470280269,-2.3802131867411798,1,0,1,0
116,scene_116.png,/home/maria/Science/data/images/scene_116.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/human_correct_vit_wrong_consensus/scene_116.png,0,0,0,1,-0.16977540311727962,1.315381346185626,1,0,1,0
