source_acronym,source_structure_id,n_units_sampled,match_quality,matched_injection_acronym,matched_injection_structure_id,match_note,n_injection_experiments,target_structure_id,target_acronym,n_unionize_experiments,mean_projection_density,median_projection_density,mean_projection_energy,median_projection_energy,mean_normalized_projection_volume,median_normalized_projection_volume
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,484682470,ProS,33,0.03342961698468408,0.0078551849008757,101.23066724954272,8.62834528304986,0.2532351563945178,0.0839386714004563
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,502,SUB,33,0.03297089693323041,0.013161244802177,98.67313917319348,11.1198453903198,0.5048061570607568,0.190005378483801
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,258,LSr,33,0.02444037818577513,0.0038520409725606,61.897168892476664,1.96906590461731,0.2398381107443601,0.051724010960383
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,428,mct,33,0.023825123193477165,1.79541384568438e-05,82.81573875867385,0.0036402461118996,0.0011927607446169325,1.39813635436646e-06
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,382,CA1,33,0.021391207622543002,0.0114674789348568,68.61959010969646,25.9681977028376,1.5739483811205723,1.13570361195904
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,423,CA2,33,0.020447466286383345,0.0066536921076476,66.80840411673418,6.55129530728798,0.04884879000217249,0.0194841617799773
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,737,fxpo,33,0.02004677667046858,0.0007843010548252,34.54094773423484,0.264135362302313,0.026198289491319905,0.0008312733463548
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,242,LS,33,0.019705005675130866,0.0032368914816678,47.05717564178273,1.64512860381569,0.31984594657434995,0.0620054084783954
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,275,LSX,33,0.01943753801088133,0.0037247714129099,45.898750499502235,1.72589177112056,0.3680195173468313,0.0871810026209734
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,310,SF,33,0.018567700330398066,0.0065025150990462,41.07936483323519,2.50568556785583,0.04678080443104039,0.0221484436424805
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,375,CA,33,0.017033623589490707,0.0097088465159305,50.89306596712482,19.5307404621875,1.9171054873624183,1.30295525687985
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,28,ENTl6a,33,0.01607563396380039,0.0006381550780391,24.175954768001752,0.604358267705323,0.08618586166655992,0.0111176649883984
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,334,BMAp,33,0.015963472203433648,0.0,37.96688825996866,0.0,0.06760633673459907,0.0
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,581,TRS,33,0.01591177282260659,0.0089692196595124,35.32713181641452,3.64225912094116,0.03157885428430268,0.0189361219554232
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,743,ENTm6,33,0.015208204316148164,0.0013406163780018,23.44493801170437,0.972515103072789,0.060557453698655145,0.0138038648018218
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,266,LSv,33,0.014358922433731953,1.2797168835732e-07,36.492953403362996,3.03985742171672e-05,0.052105453142712976,6.35064096740107e-07
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,1080,HIP,33,0.012883817234433263,0.0072399043000743,37.84975455826843,15.0792451762111,2.0320576489100577,1.40862016574724
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,311,BLAp,33,0.012844649772456782,0.0,26.436738127176074,0.0,0.052780946559980335,0.0
