quantity,norm,dot_with_difference,cosine_with_difference
mu_inanimate,11.319196701049805,7.404808044433594,0.2400684498249573
mu_animate,12.262099266052246,14.830317497253418,0.44383598591255313
common_raw,11.721142768859863,11.117562294006348,0.34807794484400084
difference,2.7249786853790283,7.425509452819824,1.0000000830986564
common_orthogonalized_to_difference,10.988166809082031,-4.6889726945664734e-07,-1.5659913194886705e-08
stimulus_raw_norm_mean_inanimate,14.996021270751953,,
stimulus_raw_norm_mean_animate,16.346590042114258,,
