stimulus_index,animacy_label,raw_norm
0,1,13.282085
1,1,15.637757
2,1,18.545979
3,1,18.210331
4,1,11.794733
5,1,19.613682
6,1,16.81497
7,1,17.171871
9,1,18.685814
10,1,14.158699
11,1,15.009297
12,1,14.383088
13,1,17.77115
14,1,14.364591
15,1,15.655422
16,1,15.456992
17,1,18.42352
18,1,15.119367
20,0,14.1309395
21,1,15.486038
22,1,18.048782
23,1,17.031511
24,1,17.697596
25,1,17.980816
26,1,20.218616
27,1,15.837173
28,1,17.37857
30,0,12.157324
31,0,13.486668
32,1,18.471579
33,1,16.125704
34,1,15.162768
35,1,16.915154
38,0,13.7202835
39,1,18.230095
40,1,13.737824
41,1,19.020685
43,0,17.018671
45,1,18.444176
46,1,12.618071
48,1,17.30714
49,1,14.970845
52,1,14.28366
53,1,15.037943
54,1,13.950746
55,1,17.650917
56,1,14.400365
57,1,17.11409
58,1,14.321296
60,0,14.207215
61,0,12.512614
63,0,14.196021
64,1,13.628816
65,0,18.259165
66,0,13.278553
67,0,15.787942
68,0,13.2069025
69,0,19.214249
71,0,15.955193
72,0,13.802781
73,0,14.0133705
74,0,14.774429
75,0,13.675024
76,1,16.587898
77,0,12.81474
78,1,14.753523
79,0,13.130728
80,0,13.494141
81,0,13.486975
82,0,13.123182
83,0,15.741937
84,0,15.020732
85,0,20.23246
86,0,17.591211
87,0,13.851191
88,0,12.148366
89,0,15.896196
90,0,14.461863
91,0,12.821015
92,0,14.424228
93,1,17.049494
94,0,16.23735
95,0,14.288694
96,0,13.937666
97,0,13.246652
98,0,17.872984
99,0,15.009009
100,0,14.641598
101,0,18.5332
102,1,14.417661
103,0,15.94407
104,0,15.847249
105,0,17.618849
106,0,17.922903
107,1,12.4352
108,0,18.624722
109,1,16.985146
111,0,17.168121
112,1,17.743486
113,0,16.857828
114,0,17.941715
115,0,17.636526
116,0,12.887099
117,0,17.704945
