pc,cosine_to_animacy_contrast,absolute_cosine_to_animacy_contrast,corr_pc_score_with_animacy_label,pc_contrast_norm,animacy_contrast_norm,explained_variance_ratio
1,0.7789018750190735,0.7789018750190735,0.7088153282167405,2.4614222049713135,2.7249789237976074,0.20716975629329681
2,-0.5002437233924866,0.5002437233924866,-0.4055899235268721,2.338982105255127,2.7249789237976074,0.16322919726371765
3,0.4267894923686981,0.4267894923686981,0.27224156912897607,2.0366952419281006,2.7249789237976074,0.057096391916275024
4,0.1407146155834198,0.1407146155834198,0.033215381872402375,1.925179362297058,2.7249789237976074,0.05397893860936165
5,-0.1531178504228592,0.1531178504228592,0.03446319251233634,2.0758676528930664,2.7249789237976074,0.043098967522382736
6,0.11955191195011139,0.11955191195011139,-0.027735434432863852,2.0974583625793457,2.7249789237976074,0.03137800469994545
7,0.0032004311215132475,0.0032004311215132475,0.06579607214969924,1.9785155057907104,2.7249789237976074,0.02791840024292469
8,0.04283042624592781,0.04283042624592781,0.03778189260322614,1.9447124004364014,2.7249789237976074,0.02680818736553192
9,-0.2380567193031311,0.2380567193031311,-0.04824175081876806,2.227189779281616,2.7249789237976074,0.02065970003604889
10,0.036767661571502686,0.036767661571502686,-0.08943221754194927,2.087693452835083,2.7249789237976074,0.018223147839307785
