pc,observed_contrast_norm,null_mean,null_std,null_95pct,null_99pct,p_value_greater_equal
1,2.461422920227051,1.9673755168914795,0.09444156289100647,2.133218765258789,2.2369797229766846,0.000999000999000999
2,2.338982582092285,1.9749871492385864,0.09712245315313339,2.142261028289795,2.255286693572998,0.001998001998001998
3,2.0366954803466797,1.9704811573028564,0.09178917855024338,2.141221523284912,2.2198946475982666,0.21878121878121878
4,1.9251794815063477,1.9724057912826538,0.0937860757112503,2.140765905380249,2.2142388820648193,0.6753246753246753
5,2.0758678913116455,1.9696887731552124,0.09511470794677734,2.1423141956329346,2.2554383277893066,0.1258741258741259
6,2.097458600997925,1.9709951877593994,0.09350290894508362,2.135313034057617,2.2470641136169434,0.09290709290709291
7,1.9785157442092896,1.972541332244873,0.09588895738124847,2.140944719314575,2.2511308193206787,0.4195804195804196
8,1.9447126388549805,1.9787907600402832,0.09820293635129929,2.1596100330352783,2.2635750770568848,0.6003996003996004
9,2.2271909713745117,1.9764357805252075,0.09605167806148529,2.155565023422241,2.2486038208007812,0.012987012987012988
10,2.087693929672241,1.9771182537078857,0.09581924229860306,2.1439778804779053,2.2397916316986084,0.13386613386613386
