index,eigenvalue
1,31.468963237279247
2,24.084894343740267
3,21.24290712473508
4,19.985490146789914
5,19.14334303745282
6,16.780238302569366
7,16.095109232575968
8,15.964640136900655
9,15.833576475455624
10,14.118197645123276
11,13.656585475790035
12,13.438018966206702
13,13.119923335533795
14,12.9337357784223
15,12.70510557162155
16,12.163290788974054
17,12.136075125058218
18,11.87817475027674
19,11.666178285462799
20,11.319961504465132
21,11.188716665604115
22,11.130046566353133
23,10.752919029988943
24,10.628786010936814
25,10.269898337877478
26,10.121972252451783
27,10.02452994532582
28,9.83622109164127
29,9.550558188937789
30,9.498635294990823
31,9.26339500133337
32,8.921271045831647
33,8.784447301349275
34,8.551495922128264
35,8.50963483724994
36,8.393880933040652
37,8.185561640224277
38,8.021064585299104
39,7.831625418758933
40,7.758222021053601
41,7.60209908310924
42,7.46586108994188
43,7.2882464666208016
44,7.137712758643732
45,6.994402672136927
46,6.77028446442828
47,6.597836361499156
48,6.311738325297796
49,6.14519933404716
50,6.033232313248067
51,5.559969291449888
52,5.17753532465242
53,5.038827098925711
54,4.928767660607231
55,4.8614517295099
56,4.831239864122997
57,4.6183920297651175
58,4.517255446828657
59,4.49658707519576
60,4.357012327229987
61,4.237161511721507
62,4.182299776680081
63,4.031102219226889
64,3.942074937142794
65,3.898220957099604
66,3.7685292249726525
67,3.69476170909674
68,3.6789282041408398
69,3.6511032772532332
70,3.5620683914519247
71,3.4005208415695414
72,3.3503004234840077
73,3.2694647906505265
74,3.1629168089775304
75,3.125268345588293
76,3.0921951392228006
77,2.9610590819308316
78,2.9241668246542663
79,2.8538047332338383
80,2.8200302923580747
81,2.598235659152371
82,2.538185695470952
83,2.2932298420642905
84,2.181981750606706
85,2.0682830596370394
86,1.8040206782377401
87,1.6287202298933978
88,1.556506190016434
89,1.5097092790262683
90,1.253584997784628
91,0.56651033832731
92,0.3369513426012362
93,0.25578526377168104
94,4.082407553486745e-14
