decoder,loo_accuracy,loo_balanced_accuracy,loo_roc_auc_raw_scores,loo_roc_auc_direction_free,n_correct,n_total,mean_common_cosine_difference_across_folds,mean_common_dot_difference_across_folds
common_orthogonalized,0.4745762711864407,0.45021645021645024,0.6349206349206349,0.6349206349206349,56,118,0.34728587254629295,11.117868383051986
common_raw,0.652542372881356,0.6515151515151515,0.7001443001443001,0.7001443001443001,77,118,0.34728587254629295,11.117868383051986
difference_reference,0.6694915254237288,0.6708513708513708,0.7844155844155843,0.7844155844155843,79,118,0.34728587254629295,11.117868383051986
norm_only,0.6694915254237288,0.656998556998557,0.6735930735930735,0.6735930735930735,79,118,0.34728587254629295,11.117868383051986
