perm_idx,accuracy,balanced_accuracy,auc
1,0.4830508474576271,0.4823953823953824,0.41645021645021646
2,0.576271186440678,0.5766233766233766,0.6268398268398269
3,0.4915254237288136,0.4903318903318903,0.5477633477633477
4,0.5169491525423728,0.5118326118326119,0.5163059163059163
5,0.4830508474576271,0.4800865800865801,0.4937950937950938
6,0.4067796610169492,0.3994227994227994,0.36507936507936506
7,0.5847457627118644,0.5845598845598845,0.5760461760461759
8,0.4152542372881356,0.4062049062049062,0.393073593073593
9,0.4661016949152542,0.4642135642135642,0.44733044733044736
10,0.5084745762711864,0.5038961038961038,0.4828282828282829
11,0.4745762711864407,0.4721500721500721,0.47763347763347763
12,0.5,0.49595959595959593,0.498989898989899
13,0.5,0.5005772005772006,0.5189033189033189
14,0.5932203389830508,0.5913419913419913,0.6230880230880231
15,0.4830508474576271,0.4823953823953824,0.47849927849927854
16,0.5254237288135594,0.5243867243867244,0.5217893217893218
17,0.5847457627118644,0.5810966810966811,0.5858585858585859
18,0.4322033898305085,0.4278499278499278,0.389033189033189
19,0.4830508474576271,0.4835497835497835,0.44790764790764787
20,0.4491525423728814,0.44372294372294374,0.42712842712842713
21,0.5423728813559322,0.5414141414141413,0.5826839826839826
22,0.4661016949152542,0.4584415584415584,0.4857142857142857
23,0.5,0.49942279942279943,0.47763347763347763
24,0.5,0.4982683982683983,0.4917748917748918
25,0.5169491525423728,0.5164502164502165,0.4857142857142857
26,0.3983050847457627,0.39610389610389607,0.4406926406926407
27,0.5508474576271186,0.547041847041847,0.5341991341991341
28,0.4830508474576271,0.4766233766233766,0.4935064935064935
29,0.4661016949152542,0.4653679653679653,0.42857142857142855
30,0.423728813559322,0.4199134199134199,0.4398268398268398
31,0.559322033898305,0.556132756132756,0.5292929292929293
32,0.6016949152542372,0.5981240981240981,0.6049062049062048
33,0.5677966101694916,0.570995670995671,0.5621933621933622
34,0.4406779661016949,0.43694083694083696,0.40346320346320347
35,0.4661016949152542,0.4642135642135642,0.44126984126984126
36,0.5084745762711864,0.5085137085137085,0.5353535353535354
37,0.5254237288135594,0.522077922077922,0.5142857142857142
38,0.5169491525423728,0.5152958152958153,0.5096681096681097
39,0.4152542372881356,0.41428571428571426,0.42308802308802307
40,0.5508474576271186,0.5458874458874459,0.5393939393939394
41,0.5423728813559322,0.5437229437229437,0.5313131313131313
42,0.5169491525423728,0.5187590187590188,0.4891774891774892
43,0.4152542372881356,0.4096681096681096,0.44675324675324674
44,0.5508474576271186,0.5505050505050505,0.5313131313131313
45,0.4067796610169492,0.40288600288600285,0.39365079365079364
46,0.4915254237288136,0.4857142857142857,0.49581529581529576
47,0.4661016949152542,0.4665223665223665,0.48080808080808085
48,0.5169491525423728,0.5141414141414141,0.5131313131313131
49,0.5084745762711864,0.5015873015873016,0.5298701298701298
50,0.4576271186440678,0.45396825396825397,0.39105339105339104
51,0.5254237288135594,0.5197691197691198,0.5290043290043289
52,0.4491525423728814,0.44487734487734487,0.3544011544011544
53,0.576271186440678,0.572005772005772,0.5463203463203463
54,0.5423728813559322,0.5425685425685425,0.5200577200577201
55,0.4491525423728814,0.4414141414141414,0.44617604617604617
56,0.3559322033898305,0.346031746031746,0.32756132756132755
57,0.5169491525423728,0.5095238095238095,0.5272727272727272
58,0.4661016949152542,0.4676767676767677,0.44213564213564216
59,0.6101694915254238,0.6083694083694083,0.6138528138528138
60,0.5508474576271186,0.553968253968254,0.5659451659451659
61,0.559322033898305,0.5584415584415584,0.574025974025974
62,0.4830508474576271,0.4835497835497835,0.40461760461760465
63,0.5677966101694916,0.564069264069264,0.5757575757575757
64,0.5,0.4936507936507937,0.5301587301587302
65,0.5,0.49595959595959593,0.4600288600288601
66,0.5423728813559322,0.5414141414141413,0.4663780663780664
67,0.5084745762711864,0.5085137085137085,0.5062049062049062
68,0.6101694915254238,0.606060606060606,0.6626262626262625
69,0.5084745762711864,0.5038961038961038,0.5307359307359307
70,0.4830508474576271,0.4789321789321789,0.48658008658008656
71,0.559322033898305,0.5526695526695526,0.5200577200577201
72,0.4406779661016949,0.43347763347763346,0.4124098124098124
73,0.5508474576271186,0.5493506493506493,0.5321789321789321
74,0.4152542372881356,0.4165945165945166,0.3901875901875902
75,0.4745762711864407,0.4756132756132756,0.42279942279942284
76,0.4576271186440678,0.4551226551226551,0.39769119769119776
77,0.5677966101694916,0.5629148629148629,0.5953823953823955
78,0.423728813559322,0.4176046176046176,0.35468975468975467
79,0.5932203389830508,0.5924963924963924,0.5875901875901876
80,0.5338983050847458,0.5357864357864357,0.5734487734487734
81,0.5084745762711864,0.5038961038961038,0.5116883116883117
82,0.423728813559322,0.4199134199134199,0.4207792207792208
83,0.4576271186440678,0.45165945165945165,0.43203463203463205
84,0.4406779661016949,0.4392496392496392,0.44963924963924967
85,0.5508474576271186,0.5493506493506493,0.4940836940836941
86,0.3898305084745763,0.38585858585858585,0.37864357864357867
87,0.423728813559322,0.41645021645021646,0.33506493506493507
88,0.4915254237288136,0.488023088023088,0.455988455988456
89,0.4661016949152542,0.46190476190476193,0.4441558441558442
90,0.3813559322033898,0.37676767676767675,0.3266955266955267
91,0.4745762711864407,0.4675324675324675,0.4378066378066378
92,0.4576271186440678,0.45165945165945165,0.37056277056277054
93,0.4406779661016949,0.43347763347763346,0.4043290043290043
94,0.4322033898305085,0.4266955266955267,0.34834054834054834
95,0.5677966101694916,0.564069264069264,0.5997113997113996
96,0.4830508474576271,0.4743145743145743,0.4510822510822511
97,0.4745762711864407,0.4675324675324675,0.406060606060606
98,0.4915254237288136,0.488023088023088,0.45656565656565656
99,0.3898305084745763,0.38354978354978353,0.34805194805194806
100,0.5423728813559322,0.5414141414141413,0.46031746031746035
101,0.5,0.49711399711399706,0.509090909090909
102,0.4322033898305085,0.4278499278499278,0.40057720057720053
103,0.576271186440678,0.572005772005772,0.5691197691197692
104,0.4915254237288136,0.488023088023088,0.4253968253968254
105,0.5847457627118644,0.5845598845598845,0.6164502164502165
106,0.5508474576271186,0.553968253968254,0.5243867243867244
107,0.4406779661016949,0.4392496392496392,0.4629148629148629
108,0.576271186440678,0.5731601731601732,0.5901875901875901
109,0.4745762711864407,0.4733044733044733,0.4897546897546897
110,0.4406779661016949,0.4427128427128427,0.40577200577200573
111,0.5338983050847458,0.5334776334776334,0.5266955266955267
112,0.4576271186440678,0.4551226551226551,0.41645021645021646
113,0.559322033898305,0.5538239538239538,0.5526695526695526
