time,fluorescence,cell_specimen_id,ophys_experiment_id,experiment_container_id
10.82503,215.94444,517471906,501704220,511510736
10.85827,207.9611,517471906,501704220,511510736
10.89151,196.68333,517471906,501704220,511510736
10.92476,201.05556,517471906,501704220,511510736
10.958,210.22778,517471906,501704220,511510736
10.99125,217.80556,517471906,501704220,511510736
11.02449,201.49445,517471906,501704220,511510736
11.05774,221.36111,517471906,501704220,511510736
11.09098,214.57222,517471906,501704220,511510736
11.12423,214.57777,517471906,501704220,511510736
11.15747,210.2,517471906,501704220,511510736
11.19072,215.88333,517471906,501704220,511510736
11.22396,223.76111,517471906,501704220,511510736
11.2572,211.85,517471906,501704220,511510736
11.29045,202.02777,517471906,501704220,511510736
11.32369,210.80556,517471906,501704220,511510736
11.35694,209.35556,517471906,501704220,511510736
11.39018,207.15,517471906,501704220,511510736
11.42343,218.41112,517471906,501704220,511510736
11.45667,222.18889,517471906,501704220,511510736
11.48992,225.95,517471906,501704220,511510736
11.52316,215.47778,517471906,501704220,511510736
11.55641,223.42223,517471906,501704220,511510736
11.58965,225.82222,517471906,501704220,511510736
11.62289,206.06667,517471906,501704220,511510736
11.65614,212.52222,517471906,501704220,511510736
11.68938,228.28334,517471906,501704220,511510736
11.72263,227.07777,517471906,501704220,511510736
11.75587,206.56111,517471906,501704220,511510736
11.78912,210.03334,517471906,501704220,511510736
11.82236,219.50555,517471906,501704220,511510736
11.85561,231.15,517471906,501704220,511510736
11.88885,224.52222,517471906,501704220,511510736
11.9221,203.62222,517471906,501704220,511510736
11.95534,211.98889,517471906,501704220,511510736
11.98858,226.69444,517471906,501704220,511510736
12.02183,234.13889,517471906,501704220,511510736
12.05507,213.12778,517471906,501704220,511510736
12.08832,211.93889,517471906,501704220,511510736
12.12156,222.7889,517471906,501704220,511510736
12.15481,217.85,517471906,501704220,511510736
12.18805,207.37778,517471906,501704220,511510736
12.2213,226.12778,517471906,501704220,511510736
12.25454,212.08333,517471906,501704220,511510736
12.28778,238.78334,517471906,501704220,511510736
12.32103,226.01666,517471906,501704220,511510736
12.35427,220.67223,517471906,501704220,511510736
12.38752,229.93889,517471906,501704220,511510736
12.42076,217.03334,517471906,501704220,511510736
12.45401,217.49445,517471906,501704220,511510736
12.48725,218.4,517471906,501704220,511510736
12.5205,207.97223,517471906,501704220,511510736
12.55374,222.7111,517471906,501704220,511510736
12.58699,213.07222,517471906,501704220,511510736
12.62023,225.65555,517471906,501704220,511510736
12.65347,196.05,517471906,501704220,511510736
12.68672,214.22778,517471906,501704220,511510736
12.71996,210.86667,517471906,501704220,511510736
12.75321,216.66112,517471906,501704220,511510736
12.78645,211.06111,517471906,501704220,511510736
12.8197,213.80556,517471906,501704220,511510736
12.85294,211.31111,517471906,501704220,511510736
12.88619,217.40555,517471906,501704220,511510736
12.91943,222.99445,517471906,501704220,511510736
12.95268,225.18333,517471906,501704220,511510736
12.98592,227.22223,517471906,501704220,511510736
13.01916,234.80556,517471906,501704220,511510736
13.05241,216.51111,517471906,501704220,511510736
13.08565,232.42223,517471906,501704220,511510736
13.1189,210.0389,517471906,501704220,511510736
13.15214,217.52222,517471906,501704220,511510736
13.18539,215.72778,517471906,501704220,511510736
13.21863,227.0389,517471906,501704220,511510736
13.25188,218.19444,517471906,501704220,511510736
13.28512,198.01111,517471906,501704220,511510736
13.31836,225.86667,517471906,501704220,511510736
13.35161,215.98334,517471906,501704220,511510736
13.38485,206.18889,517471906,501704220,511510736
13.4181,216.7889,517471906,501704220,511510736
13.45134,216.39444,517471906,501704220,511510736
13.48459,212.14444,517471906,501704220,511510736
13.51783,226.84445,517471906,501704220,511510736
13.55108,226.85,517471906,501704220,511510736
13.58432,205.57222,517471906,501704220,511510736
13.61757,211.77222,517471906,501704220,511510736
13.65081,225.37222,517471906,501704220,511510736
