time,fluorescence,cell_specimen_id,ophys_experiment_id,experiment_container_id,session_type
9.66826,488.01562,662275084,652989705,652736297,three_session_B
9.70151,506.4453,662275084,652989705,652736297,three_session_B
9.73476,462.23438,662275084,652989705,652736297,three_session_B
9.76801,443.5078,662275084,652989705,652736297,three_session_B
9.80126,441.45312,662275084,652989705,652736297,three_session_B
9.83451,413.76562,662275084,652989705,652736297,three_session_B
9.86776,480.2578,662275084,652989705,652736297,three_session_B
9.90101,425.7422,662275084,652989705,652736297,three_session_B
9.93426,453.8047,662275084,652989705,652736297,three_session_B
9.96751,424.57812,662275084,652989705,652736297,three_session_B
10.00076,425.60156,662275084,652989705,652736297,three_session_B
10.03401,449.5625,662275084,652989705,652736297,three_session_B
10.06726,469.6875,662275084,652989705,652736297,three_session_B
10.10051,457.17188,662275084,652989705,652736297,three_session_B
10.13376,448.21875,662275084,652989705,652736297,three_session_B
10.16702,435.10938,662275084,652989705,652736297,three_session_B
10.20027,450.875,662275084,652989705,652736297,three_session_B
10.23352,429.125,662275084,652989705,652736297,three_session_B
10.26677,434.82812,662275084,652989705,652736297,three_session_B
10.30002,432.35156,662275084,652989705,652736297,three_session_B
10.33327,447.35156,662275084,652989705,652736297,three_session_B
10.36652,467.78125,662275084,652989705,652736297,three_session_B
10.39977,437.39062,662275084,652989705,652736297,three_session_B
10.43302,468.375,662275084,652989705,652736297,three_session_B
10.46627,406.0625,662275084,652989705,652736297,three_session_B
10.49952,438.51562,662275084,652989705,652736297,three_session_B
10.53277,432.41406,662275084,652989705,652736297,three_session_B
10.56602,440.78125,662275084,652989705,652736297,three_session_B
10.59927,439.35156,662275084,652989705,652736297,three_session_B
10.63252,417.53125,662275084,652989705,652736297,three_session_B
10.66578,422.96094,662275084,652989705,652736297,three_session_B
10.69903,427.375,662275084,652989705,652736297,three_session_B
10.73228,419.4453,662275084,652989705,652736297,three_session_B
10.76553,404.9453,662275084,652989705,652736297,three_session_B
10.79878,444.90625,662275084,652989705,652736297,three_session_B
10.83203,427.10938,662275084,652989705,652736297,three_session_B
10.86528,440.65625,662275084,652989705,652736297,three_session_B
10.89853,472.1797,662275084,652989705,652736297,three_session_B
10.93178,471.25,662275084,652989705,652736297,three_session_B
10.96503,461.4297,662275084,652989705,652736297,three_session_B
10.99828,427.46094,662275084,652989705,652736297,three_session_B
11.03153,458.01562,662275084,652989705,652736297,three_session_B
11.06478,470.26562,662275084,652989705,652736297,three_session_B
11.09803,434.85938,662275084,652989705,652736297,three_session_B
11.13128,482.48438,662275084,652989705,652736297,three_session_B
11.16454,436.9375,662275084,652989705,652736297,three_session_B
11.19779,434.90625,662275084,652989705,652736297,three_session_B
11.23104,467.21094,662275084,652989705,652736297,three_session_B
11.26429,452.9375,662275084,652989705,652736297,three_session_B
11.29754,511.76562,662275084,652989705,652736297,three_session_B
11.33079,434.78906,662275084,652989705,652736297,three_session_B
11.36404,452.90625,662275084,652989705,652736297,three_session_B
11.39729,448.5078,662275084,652989705,652736297,three_session_B
11.43054,455.79688,662275084,652989705,652736297,three_session_B
11.46379,449.03125,662275084,652989705,652736297,three_session_B
11.49704,415.4297,662275084,652989705,652736297,three_session_B
11.53029,439.39844,662275084,652989705,652736297,three_session_B
11.56354,422.625,662275084,652989705,652736297,three_session_B
11.59679,418.60156,662275084,652989705,652736297,three_session_B
11.63004,465.0,662275084,652989705,652736297,three_session_B
11.6633,464.4922,662275084,652989705,652736297,three_session_B
11.69655,420.1875,662275084,652989705,652736297,three_session_B
11.7298,445.89844,662275084,652989705,652736297,three_session_B
11.76305,450.01562,662275084,652989705,652736297,three_session_B
11.7963,466.71094,662275084,652989705,652736297,three_session_B
11.82955,382.64844,662275084,652989705,652736297,three_session_B
11.8628,476.20312,662275084,652989705,652736297,three_session_B
11.89605,447.14062,662275084,652989705,652736297,three_session_B
11.9293,430.8047,662275084,652989705,652736297,three_session_B
11.96255,463.7578,662275084,652989705,652736297,three_session_B
11.9958,432.7578,662275084,652989705,652736297,three_session_B
12.02905,423.92188,662275084,652989705,652736297,three_session_B
12.0623,480.47656,662275084,652989705,652736297,three_session_B
12.09555,465.20312,662275084,652989705,652736297,three_session_B
12.1288,479.8828,662275084,652989705,652736297,three_session_B
12.16206,474.42188,662275084,652989705,652736297,three_session_B
12.19531,470.85938,662275084,652989705,652736297,three_session_B
12.22856,435.46875,662275084,652989705,652736297,three_session_B
12.26181,448.1875,662275084,652989705,652736297,three_session_B
12.29506,470.8828,662275084,652989705,652736297,three_session_B
12.32831,427.64062,662275084,652989705,652736297,three_session_B
12.36156,469.39844,662275084,652989705,652736297,three_session_B
12.39481,440.82812,662275084,652989705,652736297,three_session_B
12.42806,427.5625,662275084,652989705,652736297,three_session_B
12.46131,487.29688,662275084,652989705,652736297,three_session_B
12.49456,457.1875,662275084,652989705,652736297,three_session_B
12.52781,452.6953,662275084,652989705,652736297,three_session_B
12.56106,420.9922,662275084,652989705,652736297,three_session_B
12.59431,452.91406,662275084,652989705,652736297,three_session_B
12.62756,401.6797,662275084,652989705,652736297,three_session_B
12.66082,455.375,662275084,652989705,652736297,three_session_B
12.69407,484.5703,662275084,652989705,652736297,three_session_B
12.72732,419.8203,662275084,652989705,652736297,three_session_B
12.76057,414.65625,662275084,652989705,652736297,three_session_B
12.79382,432.90625,662275084,652989705,652736297,three_session_B
12.82707,430.6797,662275084,652989705,652736297,three_session_B
12.86032,478.9297,662275084,652989705,652736297,three_session_B
12.89357,461.40625,662275084,652989705,652736297,three_session_B
12.92682,413.2422,662275084,652989705,652736297,three_session_B
12.96007,433.4375,662275084,652989705,652736297,three_session_B
12.99332,402.52344,662275084,652989705,652736297,three_session_B
13.02657,453.3672,662275084,652989705,652736297,three_session_B
13.05982,414.98438,662275084,652989705,652736297,three_session_B
13.09307,473.72656,662275084,652989705,652736297,three_session_B
13.12633,452.92188,662275084,652989705,652736297,three_session_B
13.15958,436.5547,662275084,652989705,652736297,three_session_B
13.19283,452.2578,662275084,652989705,652736297,three_session_B
13.22608,433.9922,662275084,652989705,652736297,three_session_B
13.25933,394.92188,662275084,652989705,652736297,three_session_B
13.29258,428.92188,662275084,652989705,652736297,three_session_B
13.32583,422.3125,662275084,652989705,652736297,three_session_B
13.35908,491.10938,662275084,652989705,652736297,three_session_B
13.39233,439.40625,662275084,652989705,652736297,three_session_B
13.42558,477.51562,662275084,652989705,652736297,three_session_B
13.45883,422.67188,662275084,652989705,652736297,three_session_B
13.49208,456.78906,662275084,652989705,652736297,three_session_B
13.52533,415.95312,662275084,652989705,652736297,three_session_B
13.55858,440.47656,662275084,652989705,652736297,three_session_B
13.59183,495.45312,662275084,652989705,652736297,three_session_B
13.62509,424.2578,662275084,652989705,652736297,three_session_B
13.65834,417.6875,662275084,652989705,652736297,three_session_B
13.69159,427.90625,662275084,652989705,652736297,three_session_B
13.72484,434.32812,662275084,652989705,652736297,three_session_B
13.75809,429.46094,662275084,652989705,652736297,three_session_B
13.79134,496.02344,662275084,652989705,652736297,three_session_B
13.82459,407.89844,662275084,652989705,652736297,three_session_B
13.85784,459.76562,662275084,652989705,652736297,three_session_B
13.89109,498.10156,662275084,652989705,652736297,three_session_B
13.92434,441.9375,662275084,652989705,652736297,three_session_B
13.95759,473.39062,662275084,652989705,652736297,three_session_B
13.99084,459.73438,662275084,652989705,652736297,three_session_B
14.02409,422.57812,662275084,652989705,652736297,three_session_B
14.05734,442.3672,662275084,652989705,652736297,three_session_B
14.0906,430.4297,662275084,652989705,652736297,three_session_B
14.12385,421.23438,662275084,652989705,652736297,three_session_B
14.1571,435.53906,662275084,652989705,652736297,three_session_B
14.19035,466.16406,662275084,652989705,652736297,three_session_B
14.2236,489.41406,662275084,652989705,652736297,three_session_B
14.25685,442.28125,662275084,652989705,652736297,three_session_B
14.2901,448.5625,662275084,652989705,652736297,three_session_B
14.32335,464.82812,662275084,652989705,652736297,three_session_B
14.3566,446.57812,662275084,652989705,652736297,three_session_B
14.38985,459.9375,662275084,652989705,652736297,three_session_B
14.4231,462.8672,662275084,652989705,652736297,three_session_B
14.45635,456.9453,662275084,652989705,652736297,three_session_B
14.4896,450.5625,662275084,652989705,652736297,three_session_B
14.52285,443.1328,662275084,652989705,652736297,three_session_B
14.55611,435.0703,662275084,652989705,652736297,three_session_B
14.58936,460.58594,662275084,652989705,652736297,three_session_B
14.62261,475.53125,662275084,652989705,652736297,three_session_B
14.65586,455.4375,662275084,652989705,652736297,three_session_B
14.68911,455.22656,662275084,652989705,652736297,three_session_B
14.72236,458.3672,662275084,652989705,652736297,three_session_B
14.75561,448.95312,662275084,652989705,652736297,three_session_B
14.78886,449.5547,662275084,652989705,652736297,three_session_B
14.82211,456.14062,662275084,652989705,652736297,three_session_B
14.85536,438.8203,662275084,652989705,652736297,three_session_B
14.88861,449.92188,662275084,652989705,652736297,three_session_B
14.92186,462.65625,662275084,652989705,652736297,three_session_B
14.95511,445.10156,662275084,652989705,652736297,three_session_B
14.98836,478.70312,662275084,652989705,652736297,three_session_B
15.02162,451.0078,662275084,652989705,652736297,three_session_B
15.05487,454.53125,662275084,652989705,652736297,three_session_B
15.08812,496.1328,662275084,652989705,652736297,three_session_B
15.12137,456.59375,662275084,652989705,652736297,three_session_B
15.15462,444.26562,662275084,652989705,652736297,three_session_B
15.18787,466.10156,662275084,652989705,652736297,three_session_B
15.22112,403.27344,662275084,652989705,652736297,three_session_B
15.25437,421.39062,662275084,652989705,652736297,three_session_B
15.28762,425.90625,662275084,652989705,652736297,three_session_B
15.32087,427.66406,662275084,652989705,652736297,three_session_B
15.35412,456.27344,662275084,652989705,652736297,three_session_B
15.38737,487.09375,662275084,652989705,652736297,three_session_B
15.42062,449.3828,662275084,652989705,652736297,three_session_B
15.45387,438.9375,662275084,652989705,652736297,three_session_B
15.48713,456.10938,662275084,652989705,652736297,three_session_B
15.52038,444.28125,662275084,652989705,652736297,three_session_B
15.55363,492.90625,662275084,652989705,652736297,three_session_B
15.58688,455.16406,662275084,652989705,652736297,three_session_B
15.62013,481.53125,662275084,652989705,652736297,three_session_B
15.65338,458.8828,662275084,652989705,652736297,three_session_B
15.68663,473.16406,662275084,652989705,652736297,three_session_B
15.71988,432.875,662275084,652989705,652736297,three_session_B
15.75313,464.3203,662275084,652989705,652736297,three_session_B
15.78638,428.26562,662275084,652989705,652736297,three_session_B
15.81963,452.5078,662275084,652989705,652736297,three_session_B
15.85288,467.3047,662275084,652989705,652736297,three_session_B
15.88613,479.5703,662275084,652989705,652736297,three_session_B
15.91938,481.48438,662275084,652989705,652736297,three_session_B
15.95264,468.91406,662275084,652989705,652736297,three_session_B
15.98589,490.45312,662275084,652989705,652736297,three_session_B
16.01914,461.75,662275084,652989705,652736297,three_session_B
16.05239,434.5703,662275084,652989705,652736297,three_session_B
16.08564,468.64062,662275084,652989705,652736297,three_session_B
16.11889,452.96875,662275084,652989705,652736297,three_session_B
16.15214,470.23438,662275084,652989705,652736297,three_session_B
16.18539,485.0625,662275084,652989705,652736297,three_session_B
16.21864,479.75,662275084,652989705,652736297,three_session_B
16.25189,469.4375,662275084,652989705,652736297,three_session_B
16.28514,510.21094,662275084,652989705,652736297,three_session_B
16.31839,448.92188,662275084,652989705,652736297,three_session_B
16.35164,446.625,662275084,652989705,652736297,three_session_B
16.3849,427.54688,662275084,652989705,652736297,three_session_B
16.41815,426.98438,662275084,652989705,652736297,three_session_B
16.4514,450.29688,662275084,652989705,652736297,three_session_B
16.48465,471.375,662275084,652989705,652736297,three_session_B
16.5179,470.39062,662275084,652989705,652736297,three_session_B
16.55115,501.48438,662275084,652989705,652736297,three_session_B
16.5844,473.3203,662275084,652989705,652736297,three_session_B
16.61765,447.6797,662275084,652989705,652736297,three_session_B
16.6509,482.28125,662275084,652989705,652736297,three_session_B
16.68415,510.0703,662275084,652989705,652736297,three_session_B
16.7174,485.77344,662275084,652989705,652736297,three_session_B
16.75065,453.1172,662275084,652989705,652736297,three_session_B
16.7839,456.5625,662275084,652989705,652736297,three_session_B
16.81715,488.34375,662275084,652989705,652736297,three_session_B
16.85041,445.73438,662275084,652989705,652736297,three_session_B
