heldout_stimulus_index,heldout_true_label,k,added_pool_index,added_clean_feature_index,added_original_neuron_index,train_accuracy,train_balanced_accuracy,heldout_score,heldout_pred,heldout_correct,candidate_single_train_balanced_accuracy
4,1,6,22,11412,11412,0.8717948717948718,0.8769794721407624,-0.0029808953404426575,0,0,0.6771261096000671
4,1,7,836,2208,2208,0.8803418803418803,0.8860703812316715,-0.003284481819719076,0,0,0.6214076280593872
4,1,8,516,13956,13956,0.8888888888888888,0.8941348973607037,-0.003795362077653408,0,0,0.6297653913497925
4,1,9,996,27647,27647,0.8974358974358975,0.9021994134897361,-0.004159306641668081,0,0,0.6177419424057007
5,1,1,0,35669,35669,0.7350427350427351,0.7448680351906158,0.002215985208749771,1,1,0.7448680400848389
5,1,2,82,29128,29128,0.7863247863247863,0.7932551319648093,0.0010794141562655568,1,1,0.6580645442008972
5,1,3,620,8916,8916,0.8205128205128205,0.8275659824046921,0.0012687721755355597,1,1,0.6247800588607788
5,1,4,296,26585,26585,0.8547008547008547,0.8608504398826979,0.0006731738103553653,1,1,0.6379765272140503
5,1,5,112,33217,33217,0.8632478632478633,0.8689149560117302,0.00021621238556690514,1,1,0.6530791521072388
5,1,6,779,2166,2166,0.8717948717948718,0.8780058651026392,0.0005590540822595358,1,1,0.6214076280593872
6,1,1,0,35669,35669,0.7350427350427351,0.7448680351906158,0.0010606975993141532,1,1,0.7448680400848389
6,1,2,133,29128,29128,0.7948717948717948,0.8002932551319648,0.0030823838897049427,1,1,0.6499999761581421
6,1,3,404,8916,8916,0.8205128205128205,0.8275659824046921,0.0020204284228384495,1,1,0.6328445672988892
6,1,4,306,26585,26585,0.8547008547008547,0.8608504398826979,0.0018798852106556296,1,1,0.6379765272140503
6,1,5,147,32986,32986,0.8632478632478633,0.8689149560117302,0.0014223000034689903,1,1,0.6489735841751099
6,1,6,255,3871,3871,0.8717948717948718,0.8780058651026392,0.0012567945523187518,1,1,0.6416422128677368
6,1,7,294,28860,28860,0.8803418803418803,0.8860703812316715,0.0010503573575988412,1,1,0.6388562917709351
6,1,8,849,29353,29353,0.8888888888888888,0.8941348973607037,0.0006767872255295515,1,1,0.6187683343887329
7,1,1,0,1762,1762,0.7094017094017094,0.7175953079178885,0.02885987050831318,1,1,0.7175952792167664
7,1,2,315,24335,24335,0.7350427350427351,0.7428152492668622,0.045769818127155304,1,1,0.6369501352310181
7,1,3,42,4269,4269,0.7435897435897436,0.7519061583577713,0.057249516248703,1,1,0.6678885817527771
7,1,4,350,3403,3403,0.7692307692307693,0.7771260997067448,0.06025053560733795,1,1,0.6348973512649536
7,1,5,875,38294,38294,0.7948717948717948,0.8013196480938416,0.06214303523302078,1,1,0.6177419424057007
7,1,6,69,3220,3220,0.8034188034188035,0.8093841642228738,0.0639118030667305,1,1,0.6601173281669617
7,1,7,203,37506,37506,0.811965811965812,0.8174486803519061,0.07423042505979538,1,1,0.6439882516860962
8,1,1,0,35669,35669,0.7350427350427351,0.7448680351906158,0.0077973161824047565,1,1,0.7448680400848389
8,1,2,134,29128,29128,0.7863247863247863,0.7932551319648093,0.008594721555709839,1,1,0.6499999761581421
8,1,3,488,6365,6365,0.8205128205128205,0.8285923753665689,0.00722308736294508,1,1,0.6284457445144653
8,1,4,932,37075,37075,0.8547008547008547,0.8618768328445747,0.006528003606945276,1,1,0.616568922996521
8,1,5,307,29382,29382,0.8632478632478633,0.869941348973607,0.007215489167720079,1,1,0.6376832723617554
8,1,6,418,28931,28931,0.8803418803418803,0.8860703812316715,0.007001408841460943,1,1,0.6316715478897095
9,1,1,0,35669,35669,0.7350427350427351,0.7448680351906158,0.0056038061156868935,1,1,0.7448680400848389
9,1,2,83,29128,29128,0.7863247863247863,0.7932551319648093,0.004467234946787357,1,1,0.6580645442008972
9,1,3,397,8916,8916,0.8205128205128205,0.8275659824046921,0.003405279479920864,1,1,0.6328445672988892
9,1,4,454,26585,26585,0.8547008547008547,0.8608504398826979,0.004135824739933014,1,1,0.6299120187759399
9,1,5,141,32986,32986,0.8632478632478633,0.8689149560117302,0.0036782394163310528,1,1,0.6489735841751099
9,1,6,387,3871,3871,0.8717948717948718,0.8780058651026392,0.0037991865538060665,1,1,0.6335777044296265
9,1,7,436,28860,28860,0.8803418803418803,0.8860703812316715,0.004378203302621841,1,1,0.6307917833328247
10,1,1,0,35669,35669,0.7350427350427351,0.7448680351906158,0.0077973161824047565,1,1,0.7448680400848389
10,1,2,145,29128,29128,0.7863247863247863,0.7932551319648093,0.008594721555709839,1,1,0.6499999761581421
10,1,3,400,8916,8916,0.8205128205128205,0.8275659824046921,0.008164926432073116,1,1,0.6328445672988892
10,1,4,307,26585,26585,0.8547008547008547,0.8608504398826979,0.008024383336305618,1,1,0.6379765272140503
10,1,5,160,32986,32986,0.8632478632478633,0.8689149560117302,0.007910508662462234,1,1,0.6489735841751099
10,1,6,388,3871,3871,0.8717948717948718,0.8780058651026392,0.008304901421070099,1,1,0.6335777044296265
10,1,7,297,28860,28860,0.8803418803418803,0.8860703812316715,0.008098464459180832,1,1,0.6388562917709351
11,1,1,0,35669,35669,0.7350427350427351,0.7448680351906158,0.0010606975993141532,1,1,0.7448680400848389
11,1,2,146,29128,29128,0.7863247863247863,0.7932551319648093,0.0018581028562039137,1,1,0.6499999761581421
11,1,3,430,8916,8916,0.8205128205128205,0.8275659824046921,0.001428307848982513,1,1,0.6328445672988892
11,1,4,322,26585,26585,0.8547008547008547,0.8608504398826979,0.0008327094838023186,1,1,0.6379765272140503
11,1,5,115,33217,33217,0.8632478632478633,0.8689149560117302,0.0007601247052662075,1,1,0.6530791521072388
11,1,6,421,3871,3871,0.8717948717948718,0.8780058651026392,0.0011545170564204454,1,1,0.6335777044296265
12,1,1,0,35669,35669,0.7350427350427351,0.7448680351906158,0.002215985208749771,1,1,0.7448680400848389
12,1,2,92,29128,29128,0.7863247863247863,0.7932551319648093,0.0017370801651850343,1,1,0.6580645442008972
12,1,3,640,8916,8916,0.8205128205128205,0.8275659824046921,0.0019264381844550371,1,1,0.6247800588607788
12,1,4,325,26585,26585,0.8547008547008547,0.8608504398826979,0.0017858949722722173,1,1,0.6379765272140503
12,1,5,119,33217,33217,0.8632478632478633,0.8689149560117302,0.0017133101355284452,1,1,0.6530791521072388
12,1,6,280,3871,3871,0.8717948717948718,0.8780058651026392,0.0012483447790145874,1,1,0.6416422128677368
13,1,1,0,35669,35669,0.7435897435897436,0.7529325513196481,-0.001288900151848793,0,0,0.7529325485229492
13,1,2,143,29128,29128,0.7948717948717948,0.8002932551319648,0.00409345468506217,1,1,0.6499999761581421
13,1,3,517,6365,6365,0.8205128205128205,0.8275659824046921,0.0036588667426258326,1,1,0.6284457445144653
13,1,4,686,39131,39131,0.8461538461538461,0.8538123167155425,0.0031916555017232895,1,1,0.6227272748947144
14,1,1,0,35669,35669,0.7350427350427351,0.7448680351906158,0.002215985208749771,1,1,0.7448680400848389
14,1,2,90,29128,29128,0.7863247863247863,0.7932551319648093,0.0017370801651850343,1,1,0.6580645442008972
14,1,3,659,8916,8916,0.8205128205128205,0.8275659824046921,0.0019264381844550371,1,1,0.6247800588607788
14,1,4,495,26585,26585,0.8547008547008547,0.8608504398826979,0.0022279429249465466,1,1,0.6299120187759399
14,1,5,121,33217,33217,0.8632478632478633,0.8689149560117302,0.0021553582046180964,1,1,0.6530791521072388
14,1,6,418,3871,3871,0.8717948717948718,0.8780058651026392,0.00227630534209311,1,1,0.6335777044296265
15,1,1,0,35669,35669,0.7350427350427351,0.7448680351906158,0.004487539175897837,1,1,0.7448680400848389
15,1,2,86,29128,29128,0.7863247863247863,0.7932551319648093,0.004008634015917778,1,1,0.6580645442008972
15,1,3,415,8916,8916,0.8205128205128205,0.8275659824046921,0.0035788388922810555,1,1,0.6328445672988892
15,1,4,486,26585,26585,0.8547008547008547,0.8608504398826979,0.0038803433999419212,1,1,0.6299120187759399
15,1,5,118,33217,33217,0.8632478632478633,0.8689149560117302,0.0034233820624649525,1,1,0.6530791521072388
15,1,6,500,2166,2166,0.8717948717948718,0.8780058651026392,0.0028736793901771307,1,1,0.6294721364974976
16,1,1,0,35669,35669,0.7350427350427351,0.7448680351906158,0.002215985208749771,1,1,0.7448680400848389
16,1,2,88,29128,29128,0.7863247863247863,0.7932551319648093,0.0010794141562655568,1,1,0.6580645442008972
16,1,3,539,6365,6365,0.8205128205128205,0.8285923753665689,0.000182806805241853,1,1,0.6284457445144653
16,1,4,313,26585,26585,0.8547008547008547,0.8608504398826979,-0.0004127915599383414,0,0,0.6379765272140503
16,1,5,802,15230,15230,0.8717948717948718,0.8780058651026392,-0.00041115793283097446,0,0,0.6215542554855347
17,1,1,0,35669,35669,0.7350427350427351,0.7448680351906158,0.0010606975993141532,1,1,0.7448680400848389
17,1,2,148,29128,29128,0.7948717948717948,0.8002932551319648,0.004254636354744434,1,1,0.6499999761581421
17,1,3,623,8916,8916,0.8205128205128205,0.8275659824046921,0.005050140433013439,1,1,0.6247800588607788
17,1,4,296,26585,26585,0.8547008547008547,0.8608504398826979,0.004909597337245941,1,1,0.6379765272140503
17,1,5,112,33217,33217,0.8632478632478633,0.8689149560117302,0.004837012384086847,1,1,0.6530791521072388
17,1,6,392,3871,3871,0.8717948717948718,0.8780058651026392,0.004957959521561861,1,1,0.6335777044296265
18,1,1,0,35669,35669,0.7350427350427351,0.7448680351906158,0.0010606975993141532,1,1,0.7448680400848389
18,1,2,147,29128,29128,0.7863247863247863,0.7932551319648093,0.0012264512479305267,1,1,0.6499999761581421
18,1,3,434,8916,8916,0.8205128205128205,0.8275659824046921,0.000796656240709126,1,1,0.6328445672988892
18,1,4,499,26585,26585,0.8547008547008547,0.8608504398826979,0.00273627950809896,1,1,0.6299120187759399
18,1,5,118,33217,33217,0.8632478632478633,0.8689149560117302,0.0026636947877705097,1,1,0.6530791521072388
18,1,6,420,3871,3871,0.8717948717948718,0.8780058651026392,0.0027846419252455235,1,1,0.6335777044296265
19,1,1,0,35669,35669,0.7435897435897436,0.7529325513196481,-0.001288900151848793,0,0,0.7529325485229492
19,1,2,369,13709,13709,0.7948717948717948,0.8043988269794722,0.01514342613518238,1,1,0.6340175867080688
19,1,3,258,32986,32986,0.8290598290598291,0.8366568914956012,0.015360255725681782,1,1,0.6409090757369995
19,1,4,145,14439,14439,0.8376068376068376,0.8447214076246334,0.015238646417856216,1,1,0.6488269567489624
19,1,5,386,8539,8539,0.8461538461538461,0.8538123167155425,0.015670977532863617,1,1,0.633431077003479
19,1,6,417,17858,17858,0.8547008547008547,0.8618768328445747,0.015329444780945778,1,1,0.6318181753158569
19,1,7,732,15230,15230,0.8632478632478633,0.869941348973607,0.015628082677721977,1,1,0.6215542554855347
19,1,8,755,28529,28529,0.8717948717948718,0.8780058651026392,0.015321592800319195,1,1,0.6208211183547974
20,0,1,0,35669,35669,0.7350427350427351,0.7473544973544974,-0.0035374120343476534,0,1,0.7473545074462891
20,0,2,123,29128,29128,0.7863247863247863,0.794973544973545,-0.004625874571502209,0,1,0.6521164178848267
20,0,3,609,6365,6365,0.8205128205128205,0.8306878306878307,-0.004607241600751877,0,1,0.6256613731384277
20,0,4,990,39131,39131,0.8461538461538461,0.8558201058201058,-0.0050553628243505955,0,1,0.6164020895957947
20,0,5,458,30620,30620,0.8547008547008547,0.8637566137566137,-0.005291910842061043,0,1,0.6309523582458496
20,0,6,348,36590,36590,0.8632478632478633,0.8716931216931216,-0.005468927323818207,0,1,0.6362434029579163
20,0,7,28,38926,38926,0.8717948717948718,0.8796296296296297,-0.0056503331288695335,0,1,0.6732804179191589
20,0,8,641,18392,18392,0.8803418803418803,0.8875661375661376,-0.006767001934349537,0,1,0.6243386268615723
21,1,1,0,35669,35669,0.7435897435897436,0.7529325513196481,-0.00010759738506749272,0,0,0.7529325485229492
21,1,2,86,29128,29128,0.7948717948717948,0.8013196480938416,-0.0005865023704245687,0,0,0.6580645442008972
21,1,3,437,8916,8916,0.8290598290598291,0.8356304985337244,-0.0010162973776459694,0,0,0.6328445672988892
21,1,4,15,36380,36380,0.8376068376068376,0.8447214076246334,-0.0006709200097247958,0,0,0.6800586581230164
21,1,5,909,35665,35665,0.8547008547008547,0.8608504398826979,-0.00216171657666564,0,0,0.6186217069625854
21,1,6,6,19909,19909,0.8717948717948718,0.8780058651026392,-0.0019523798255249858,0,0,0.6851906180381775
21,1,7,256,22408,22408,0.8803418803418803,0.8860703812316715,-0.00171457149554044,0,0,0.6419354677200317
21,1,8,296,19561,19561,0.8888888888888888,0.8941348973607037,-0.001372035825625062,0,0,0.6390029191970825
22,1,1,0,35669,35669,0.7350427350427351,0.7448680351906158,0.004487539175897837,1,1,0.7448680400848389
22,1,2,131,29128,29128,0.7863247863247863,0.7932551319648093,0.004653292708098888,1,1,0.6499999761581421
22,1,3,798,6365,6365,0.8205128205128205,0.8285923753665689,0.004667717032134533,1,1,0.620381236076355
22,1,4,851,29382,29382,0.8461538461538461,0.8538123167155425,0.004300401080399752,1,1,0.6187683343887329
22,1,5,54,25129,25129,0.8632478632478633,0.869941348973607,0.0046151853166520596,1,1,0.6639296412467957
23,1,1,0,35669,35669,0.7435897435897436,0.7529325513196481,-0.001288900151848793,0,0,0.7529325485229492
23,1,2,751,12445,12445,0.7948717948717948,0.8013196480938416,-0.001476723118685186,0,0,0.6208211183547974
23,1,3,827,36086,36086,0.8376068376068376,0.8426686217008797,-0.00123725482262671,0,0,0.6195014715194702
23,1,4,6,19909,19909,0.8461538461538461,0.8517595307917889,-0.0010279180714860559,0,0,0.6851906180381775
23,1,5,10,38926,38926,0.8547008547008547,0.8598240469208212,-0.0012152226408943534,0,0,0.6802052855491638
23,1,6,950,12675,12675,0.8547008547008547,0.8608504398826979,-0.001001864904537797,0,0,0.616568922996521
23,1,7,144,27013,27013,0.8632478632478633,0.8689149560117302,-0.0009502382017672062,0,0,0.6498533487319946
24,1,1,0,35669,35669,0.7350427350427351,0.7448680351906158,0.0010606975993141532,1,1,0.7448680400848389
24,1,2,140,29128,29128,0.7863247863247863,0.7932551319648093,0.0012264512479305267,1,1,0.6499999761581421
24,1,3,411,8916,8916,0.8205128205128205,0.8275659824046921,0.000796656240709126,1,1,0.6328445672988892
24,1,4,483,26585,26585,0.8547008547008547,0.8608504398826979,0.001527201384305954,1,1,0.6299120187759399
