k,loo_accuracy,loo_balanced_accuracy,loo_auc,n_correct,n_total
1,0.7372881355932204,0.7481962481962482,0.7062049062049063,87,118
2,0.7372881355932204,0.7447330447330447,0.7503607503607505,87,118
3,0.711864406779661,0.7197691197691197,0.7128427128427128,84,118
4,0.7203389830508474,0.7265512265512266,0.718037518037518,85,118
5,0.7033898305084746,0.7083694083694083,0.7070707070707071,83,118
6,0.7033898305084746,0.7095238095238096,0.7113997113997115,83,118
7,0.711864406779661,0.7186147186147187,0.7356421356421357,84,118
8,0.7203389830508474,0.7277056277056277,0.7356421356421355,85,118
9,0.7033898305084746,0.7083694083694083,0.7339105339105338,83,118
10,0.7033898305084746,0.7095238095238096,0.7347763347763347,83,118
11,0.711864406779661,0.7186147186147187,0.7365079365079366,84,118
12,0.711864406779661,0.7186147186147187,0.7321789321789322,84,118
13,0.7033898305084746,0.7095238095238096,0.7316017316017315,83,118
14,0.7033898305084746,0.7095238095238096,0.7304473304473303,83,118
15,0.7033898305084746,0.7095238095238096,0.7290043290043289,83,118
16,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
17,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
18,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
19,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
20,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
21,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
22,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
23,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
24,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
25,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
26,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
27,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
28,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
29,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
30,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
31,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
32,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
33,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
34,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
35,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
36,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
