original_index,image_name,image_path,copied_path,human_label,vit_label,human_decoder_pred,vit_decoder_pred,human_logit,vit_logit,human_decoder_correct_under_human_label,vit_decoder_correct_under_human_label,human_decoder_correct_under_vit_label,vit_decoder_correct_under_vit_label
64,scene_064.png,/home/maria/Science/data/images/scene_064.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/human_vit_label_disagreement_images/scene_064.png,0,1,0,0,-2.7153974059913364,-2.735942722706233,1,1,0,0
70,scene_070.png,/home/maria/Science/data/images/scene_070.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/human_vit_label_disagreement_images/scene_070.png,0,1,1,1,3.707934538544041,1.941706463781325,0,0,1,1
76,scene_076.png,/home/maria/Science/data/images/scene_076.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/human_vit_label_disagreement_images/scene_076.png,0,1,0,0,-2.51541060200836,-3.5679179496354734,1,1,0,0
78,scene_078.png,/home/maria/Science/data/images/scene_078.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/human_vit_label_disagreement_images/scene_078.png,0,1,1,1,1.665538478254029,1.7237608080268338,0,0,1,1
93,scene_093.png,/home/maria/Science/data/images/scene_093.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/human_vit_label_disagreement_images/scene_093.png,0,1,1,1,9.73323564996302,8.082603232931849,0,0,1,1
107,scene_107.png,/home/maria/Science/data/images/scene_107.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/human_vit_label_disagreement_images/scene_107.png,0,1,0,0,-5.475318974887542,-5.055908599091943,1,1,0,0
110,scene_110.png,/home/maria/Science/data/images/scene_110.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/human_vit_label_disagreement_images/scene_110.png,0,1,1,1,7.462080581975777,5.032404447358179,0,0,1,1
